aluno_id,nome_aluno,questao_id,resposta_aluno
ALUNO_8_2,Estudante 2,Q14,"Para saber com quantos peixes Ana ficou, somei os peixes que ela já tinha com os que comprou: 18+7=25. Ana ficou com 25 peixes."
ALUNO_8_2,Estudante 2,Q15,"Para calcular o total de passageiros, somei os passageiros iniciais com os que subiram na parada: 35+12=47. O ônibus tem 47 passageiros agora."
ALUNO_8_2,Estudante 2,Q16,"Eu somei, mas o resultado deu 123."
ALUNO_8_2,Estudante 2,Q17,"Para saber o total de livros infantis, somei os livros que a biblioteca já tinha com os que foram adquiridos: 320+85=405. A biblioteca possui 405 livros infantis agora."
ALUNO_8_2,Estudante 2,Q18,"Em um estacionamento, há 15 carros brancos, 10 carros pretos e 5 carros vermelhos. Quantos carros há no total?"
ALUNO_8_2,Estudante 2,Q19,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_2,Estudante 2,Q20,"Em uma fazenda, há 120 galinhas e 85 patos. Quantas aves há ao todo na fazenda?"
ALUNO_8_3,Estudante 3,Q1,"Para saber o total, eu somei os livros dos dois dias: 273+319=592. A biblioteca recebeu um total de 592 livros."
ALUNO_8_3,Estudante 3,Q2,"Para encontrar o total arrecadado, somei as doações dos dois bairros: 875 kg+1.120 kg=1.995 kg. Foram arrecadados 1.995 kg de alimentos."
ALUNO_8_3,Estudante 3,Q3,"Eu somei, mas o resultado deu 123."
ALUNO_8_3,Estudante 3,Q4,"Para calcular o total de filhotes nascidos, somei o número de filhotes de cada espécie: 43+15+28=86. Nasceram 86 filhotes no total no zoológico."
ALUNO_8_3,Estudante 3,Q5,"Para obter o número total de ingressos, somei os ingressos vendidos online e na bilheteria: 2.345+1.987=4.332. O número total de ingressos vendidos foi 4.332."
ALUNO_8_3,Estudante 3,Q6,"Para encontrar a distância total percorrida, somei a distância de cada dia: 7.500 metros+6.800 metros=14.300 metros. O atleta percorreu 14.300 metros no total."
ALUNO_8_3,Estudante 3,Q7,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_3,Estudante 3,Q8,"Para saber o total de material reciclável recolhido, somei as quantidades de cada material: 2.100 kg+1.550 kg+890 kg=4.540 kg. Foram recolhidos 4.540 kg de material reciclável no total."
ALUNO_8_3,Estudante 3,Q9,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_3,Estudante 3,Q10,"Para saber o total de crianças, somei o número de meninos e meninas: 15+13=28. Há 28 crianças ao todo nessa classe."
ALUNO_8_3,Estudante 3,Q11,"Para calcular o total de alunos que estudam na escola, somei os alunos do turno matutino e vespertino: 1.407+1.825=3.232. Estudam 3.232 alunos nessa escola."
ALUNO_8_3,Estudante 3,Q12,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_3,Estudante 3,Q13,"Para saber o total de frutas, somei a quantidade de cada tipo de fruta: 7+5+3=15. Há 15 frutas no total na fruteira."
ALUNO_8_3,Estudante 3,Q14,"Para saber com quantos peixes Ana ficou, somei os peixes que ela já tinha com os que comprou: 18+7=25. Ana ficou com 25 peixes."
ALUNO_8_3,Estudante 3,Q15,"Para calcular o total de passageiros, somei os passageiros iniciais com os que subiram na parada: 35+12=47. O ônibus tem 47 passageiros agora."
ALUNO_8_3,Estudante 3,Q16,"Eu somei, mas o resultado deu 123."
ALUNO_8_3,Estudante 3,Q17,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_3,Estudante 3,Q18,"Em um estacionamento, há 15 carros brancos, 10 carros pretos e 5 carros vermelhos. Quantos carros há no total?"
ALUNO_8_3,Estudante 3,Q19,"Eu somei, mas o resultado deu 123."
ALUNO_8_3,Estudante 3,Q20,"Em uma fazenda, há 120 galinhas e 85 patos. Quantas aves há ao todo na fazenda?"
ALUNO_8_4,Estudante 4,Q1,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_4,Estudante 4,Q2,"Para encontrar o total arrecadado, somei as doações dos dois bairros: 875 kg+1.120 kg=1.995 kg. Foram arrecadados 1.995 kg de alimentos."
ALUNO_8_4,Estudante 4,Q3,"Para saber o total de pés de milho plantados, somei os pés de milho de cada safra: 5.300+6.150=11.450. Ele plantou 11.450 pés de milho no total nas duas safras."
ALUNO_8_4,Estudante 4,Q4,Achei que era um problema de divisão.
ALUNO_8_4,Estudante 4,Q5,"Para obter o número total de ingressos, somei os ingressos vendidos online e na bilheteria: 2.345+1.987=4.332. O número total de ingressos vendidos foi 4.332."
ALUNO_8_4,Estudante 4,Q6,"Para encontrar a distância total percorrida, somei a distância de cada dia: 7.500 metros+6.800 metros=14.300 metros. O atleta percorreu 14.300 metros no total."
ALUNO_8_4,Estudante 4,Q7,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_4,Estudante 4,Q8,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_4,Estudante 4,Q9,"Eu somei, mas o resultado deu 123."
ALUNO_8_4,Estudante 4,Q10,"Para saber o total de crianças, somei o número de meninos e meninas: 15+13=28. Há 28 crianças ao todo nessa classe."
ALUNO_8_4,Estudante 4,Q11,"Para calcular o total de alunos que estudam na escola, somei os alunos do turno matutino e vespertino: 1.407+1.825=3.232. Estudam 3.232 alunos nessa escola."
ALUNO_8_4,Estudante 4,Q12,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_4,Estudante 4,Q13,"Para saber o total de frutas, somei a quantidade de cada tipo de fruta: 7+5+3=15. Há 15 frutas no total na fruteira."
ALUNO_8_4,Estudante 4,Q14,Não respondeu.
ALUNO_8_4,Estudante 4,Q15,Achei que era um problema de divisão.
ALUNO_8_4,Estudante 4,Q16,"Para saber quanto dinheiro Marta tem, somei o valor que ela já possuía com o que seu pai lhe deu: R$ 45,00+R$20,00=R$65,00. Marta tem R$ 65,00."
ALUNO_8_4,Estudante 4,Q17,"Para saber o total de livros infantis, somei os livros que a biblioteca já tinha com os que foram adquiridos: 320+85=405. A biblioteca possui 405 livros infantis agora."
ALUNO_8_4,Estudante 4,Q18,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_4,Estudante 4,Q19,Não respondeu.
ALUNO_8_4,Estudante 4,Q20,"Em uma fazenda, há 120 galinhas e 85 patos. Quantas aves há ao todo na fazenda?"
ALUNO_8_5,Estudante 5,Q1,"Para saber o total, eu somei os livros dos dois dias: 273+319=592. A biblioteca recebeu um total de 592 livros."
ALUNO_8_5,Estudante 5,Q2,"Para encontrar o total arrecadado, somei as doações dos dois bairros: 875 kg+1.120 kg=1.995 kg. Foram arrecadados 1.995 kg de alimentos."
ALUNO_8_5,Estudante 5,Q3,"Para saber o total de pés de milho plantados, somei os pés de milho de cada safra: 5.300+6.150=11.450. Ele plantou 11.450 pés de milho no total nas duas safras."
ALUNO_8_5,Estudante 5,Q4,"Para calcular o total de filhotes nascidos, somei o número de filhotes de cada espécie: 43+15+28=86. Nasceram 86 filhotes no total no zoológico."
ALUNO_8_5,Estudante 5,Q5,"Para obter o número total de ingressos, somei os ingressos vendidos online e na bilheteria: 2.345+1.987=4.332. O número total de ingressos vendidos foi 4.332."
ALUNO_8_5,Estudante 5,Q6,"Para encontrar a distância total percorrida, somei a distância de cada dia: 7.500 metros+6.800 metros=14.300 metros. O atleta percorreu 14.300 metros no total."
ALUNO_8_5,Estudante 5,Q7,"Para calcular a produção total, somei as peças produzidas em janeiro e fevereiro: 15.670+18.905=34.575. A produção total da empresa nesses dois meses foi de 34.575 peças."
ALUNO_8_5,Estudante 5,Q8,"Para saber o total de material reciclável recolhido, somei as quantidades de cada material: 2.100 kg+1.550 kg+890 kg=4.540 kg. Foram recolhidos 4.540 kg de material reciclável no total."
ALUNO_8_5,Estudante 5,Q9,Achei que era um problema de divisão.
ALUNO_8_5,Estudante 5,Q10,"Eu somei, mas o resultado deu 123."
ALUNO_8_5,Estudante 5,Q11,"Para calcular o total de alunos que estudam na escola, somei os alunos do turno matutino e vespertino: 1.407+1.825=3.232. Estudam 3.232 alunos nessa escola."
ALUNO_8_5,Estudante 5,Q12,"Eu somei, mas o resultado deu 123."
ALUNO_8_5,Estudante 5,Q13,"Para saber o total de frutas, somei a quantidade de cada tipo de fruta: 7+5+3=15. Há 15 frutas no total na fruteira."
ALUNO_8_5,Estudante 5,Q14,"Eu somei, mas o resultado deu 123."
ALUNO_8_5,Estudante 5,Q15,"Para calcular o total de passageiros, somei os passageiros iniciais com os que subiram na parada: 35+12=47. O ônibus tem 47 passageiros agora."
ALUNO_8_5,Estudante 5,Q16,"Para saber quanto dinheiro Marta tem, somei o valor que ela já possuía com o que seu pai lhe deu: R$ 45,00+R$20,00=R$65,00. Marta tem R$ 65,00."
ALUNO_8_5,Estudante 5,Q17,Achei que era um problema de divisão.
ALUNO_8_5,Estudante 5,Q18,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_5,Estudante 5,Q19,Uma equipe de basquete marcou 28 pontos no primeiro quarto e 35 pontos no segundo quarto. Quantos pontos a equipe marcou juntos nesses dois quartos?
ALUNO_8_5,Estudante 5,Q20,"Em uma fazenda, há 120 galinhas e 85 patos. Quantas aves há ao todo na fazenda?"
ALUNO_8_6,Estudante 6,Q1,Achei que era um problema de divisão.
ALUNO_8_6,Estudante 6,Q2,"Para encontrar o total arrecadado, somei as doações dos dois bairros: 875 kg+1.120 kg=1.995 kg. Foram arrecadados 1.995 kg de alimentos."
ALUNO_8_6,Estudante 6,Q3,"Eu somei, mas o resultado deu 123."
ALUNO_8_6,Estudante 6,Q4,Achei que era um problema de divisão.
ALUNO_8_6,Estudante 6,Q5,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_6,Estudante 6,Q6,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_6,Estudante 6,Q7,"Para calcular a produção total, somei as peças produzidas em janeiro e fevereiro: 15.670+18.905=34.575. A produção total da empresa nesses dois meses foi de 34.575 peças."
ALUNO_8_6,Estudante 6,Q8,"Para saber o total de material reciclável recolhido, somei as quantidades de cada material: 2.100 kg+1.550 kg+890 kg=4.540 kg. Foram recolhidos 4.540 kg de material reciclável no total."
ALUNO_8_6,Estudante 6,Q9,"Para encontrar o total de celulares vendidos, somei as vendas de cada semana: 54+78+92=224. A loja vendeu 224 celulares no total nessas três semanas."
ALUNO_8_6,Estudante 6,Q10,"Para saber o total de crianças, somei o número de meninos e meninas: 15+13=28. Há 28 crianças ao todo nessa classe."
ALUNO_8_6,Estudante 6,Q11,"Para calcular o total de alunos que estudam na escola, somei os alunos do turno matutino e vespertino: 1.407+1.825=3.232. Estudam 3.232 alunos nessa escola."
ALUNO_8_6,Estudante 6,Q12,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_6,Estudante 6,Q13,"Para saber o total de frutas, somei a quantidade de cada tipo de fruta: 7+5+3=15. Há 15 frutas no total na fruteira."
ALUNO_8_6,Estudante 6,Q14,Achei que era um problema de divisão.
ALUNO_8_6,Estudante 6,Q15,"Para calcular o total de passageiros, somei os passageiros iniciais com os que subiram na parada: 35+12=47. O ônibus tem 47 passageiros agora."
ALUNO_8_6,Estudante 6,Q16,"Eu somei, mas o resultado deu 123."
ALUNO_8_6,Estudante 6,Q17,"Para saber o total de livros infantis, somei os livros que a biblioteca já tinha com os que foram adquiridos: 320+85=405. A biblioteca possui 405 livros infantis agora."
ALUNO_8_6,Estudante 6,Q18,"Em um estacionamento, há 15 carros brancos, 10 carros pretos e 5 carros vermelhos. Quantos carros há no total?"
ALUNO_8_6,Estudante 6,Q19,Uma equipe de basquete marcou 28 pontos no primeiro quarto e 35 pontos no segundo quarto. Quantos pontos a equipe marcou juntos nesses dois quartos?
ALUNO_8_6,Estudante 6,Q20,"Em uma fazenda, há 120 galinhas e 85 patos. Quantas aves há ao todo na fazenda?"
ALUNO_8_7,Estudante 7,Q1,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_7,Estudante 7,Q2,Não respondeu.
ALUNO_8_7,Estudante 7,Q3,Achei que era um problema de divisão.
ALUNO_8_7,Estudante 7,Q4,"Para calcular o total de filhotes nascidos, somei o número de filhotes de cada espécie: 43+15+28=86. Nasceram 86 filhotes no total no zoológico."
ALUNO_8_7,Estudante 7,Q5,"Para obter o número total de ingressos, somei os ingressos vendidos online e na bilheteria: 2.345+1.987=4.332. O número total de ingressos vendidos foi 4.332."
ALUNO_8_7,Estudante 7,Q6,"Eu somei, mas o resultado deu 123."
ALUNO_8_7,Estudante 7,Q7,"Para calcular a produção total, somei as peças produzidas em janeiro e fevereiro: 15.670+18.905=34.575. A produção total da empresa nesses dois meses foi de 34.575 peças."
ALUNO_8_7,Estudante 7,Q8,"Eu somei, mas o resultado deu 123."
ALUNO_8_7,Estudante 7,Q9,"Eu somei, mas o resultado deu 123."
ALUNO_8_7,Estudante 7,Q10,"Para saber o total de crianças, somei o número de meninos e meninas: 15+13=28. Há 28 crianças ao todo nessa classe."
ALUNO_8_7,Estudante 7,Q11,"Para calcular o total de alunos que estudam na escola, somei os alunos do turno matutino e vespertino: 1.407+1.825=3.232. Estudam 3.232 alunos nessa escola."
ALUNO_8_7,Estudante 7,Q12,"Para determinar a população total da Paraíba, somei o número de homens e mulheres: 1.546.042+1.654.578=3.200.620. A população da Paraíba, segundo esse censo, é de 3.200.620 habitantes."
ALUNO_8_7,Estudante 7,Q13,Achei que era um problema de divisão.
ALUNO_8_7,Estudante 7,Q14,"Para saber com quantos peixes Ana ficou, somei os peixes que ela já tinha com os que comprou: 18+7=25. Ana ficou com 25 peixes."
ALUNO_8_7,Estudante 7,Q15,"Para calcular o total de passageiros, somei os passageiros iniciais com os que subiram na parada: 35+12=47. O ônibus tem 47 passageiros agora."
ALUNO_8_7,Estudante 7,Q16,"Eu somei, mas o resultado deu 123."
ALUNO_8_7,Estudante 7,Q17,Achei que era um problema de divisão.
ALUNO_8_7,Estudante 7,Q18,"Em um estacionamento, há 15 carros brancos, 10 carros pretos e 5 carros vermelhos. Quantos carros há no total?"
ALUNO_8_7,Estudante 7,Q19,Uma equipe de basquete marcou 28 pontos no primeiro quarto e 35 pontos no segundo quarto. Quantos pontos a equipe marcou juntos nesses dois quartos?
ALUNO_8_7,Estudante 7,Q20,"Em uma fazenda, há 120 galinhas e 85 patos. Quantas aves há ao todo na fazenda?"
ALUNO_8_8,Estudante 8,Q1,"Para saber o total, eu somei os livros dos dois dias: 273+319=592. A biblioteca recebeu um total de 592 livros."
ALUNO_8_8,Estudante 8,Q2,"Eu somei, mas o resultado deu 123."
ALUNO_8_8,Estudante 8,Q3,"Para saber o total de pés de milho plantados, somei os pés de milho de cada safra: 5.300+6.150=11.450. Ele plantou 11.450 pés de milho no total nas duas safras."
ALUNO_8_8,Estudante 8,Q4,"Para calcular o total de filhotes nascidos, somei o número de filhotes de cada espécie: 43+15+28=86. Nasceram 86 filhotes no total no zoológico."
ALUNO_8_8,Estudante 8,Q5,"Para obter o número total de ingressos, somei os ingressos vendidos online e na bilheteria: 2.345+1.987=4.332. O número total de ingressos vendidos foi 4.332."
ALUNO_8_8,Estudante 8,Q6,"Para encontrar a distância total percorrida, somei a distância de cada dia: 7.500 metros+6.800 metros=14.300 metros. O atleta percorreu 14.300 metros no total."
ALUNO_8_8,Estudante 8,Q7,Achei que era um problema de divisão.
ALUNO_8_8,Estudante 8,Q8,"Para saber o total de material reciclável recolhido, somei as quantidades de cada material: 2.100 kg+1.550 kg+890 kg=4.540 kg. Foram recolhidos 4.540 kg de material reciclável no total."
ALUNO_8_8,Estudante 8,Q9,"Eu somei, mas o resultado deu 123."
ALUNO_8_8,Estudante 8,Q10,Não respondeu.
ALUNO_8_8,Estudante 8,Q11,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_8,Estudante 8,Q12,"Eu somei, mas o resultado deu 123."
ALUNO_8_8,Estudante 8,Q13,"Para saber o total de frutas, somei a quantidade de cada tipo de fruta: 7+5+3=15. Há 15 frutas no total na fruteira."
ALUNO_8_8,Estudante 8,Q14,"Para saber com quantos peixes Ana ficou, somei os peixes que ela já tinha com os que comprou: 18+7=25. Ana ficou com 25 peixes."
ALUNO_8_8,Estudante 8,Q15,"Para calcular o total de passageiros, somei os passageiros iniciais com os que subiram na parada: 35+12=47. O ônibus tem 47 passageiros agora."
ALUNO_8_8,Estudante 8,Q16,"Eu somei, mas o resultado deu 123."
ALUNO_8_8,Estudante 8,Q17,"Para saber o total de livros infantis, somei os livros que a biblioteca já tinha com os que foram adquiridos: 320+85=405. A biblioteca possui 405 livros infantis agora."
ALUNO_8_8,Estudante 8,Q18,"Eu somei, mas o resultado deu 123."
ALUNO_8_8,Estudante 8,Q19,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_8,Estudante 8,Q20,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_9,Estudante 9,Q1,"Para saber o total, eu somei os livros dos dois dias: 273+319=592. A biblioteca recebeu um total de 592 livros."
ALUNO_8_9,Estudante 9,Q2,Achei que era um problema de divisão.
ALUNO_8_9,Estudante 9,Q3,"Para saber o total de pés de milho plantados, somei os pés de milho de cada safra: 5.300+6.150=11.450. Ele plantou 11.450 pés de milho no total nas duas safras."
ALUNO_8_9,Estudante 9,Q4,"Eu somei, mas o resultado deu 123."
ALUNO_8_9,Estudante 9,Q5,"Para obter o número total de ingressos, somei os ingressos vendidos online e na bilheteria: 2.345+1.987=4.332. O número total de ingressos vendidos foi 4.332."
ALUNO_8_9,Estudante 9,Q6,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_9,Estudante 9,Q7,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_9,Estudante 9,Q8,"Para saber o total de material reciclável recolhido, somei as quantidades de cada material: 2.100 kg+1.550 kg+890 kg=4.540 kg. Foram recolhidos 4.540 kg de material reciclável no total."
ALUNO_8_9,Estudante 9,Q9,"Para encontrar o total de celulares vendidos, somei as vendas de cada semana: 54+78+92=224. A loja vendeu 224 celulares no total nessas três semanas."
ALUNO_8_9,Estudante 9,Q10,"Eu somei, mas o resultado deu 123."
ALUNO_8_9,Estudante 9,Q11,"Para calcular o total de alunos que estudam na escola, somei os alunos do turno matutino e vespertino: 1.407+1.825=3.232. Estudam 3.232 alunos nessa escola."
ALUNO_8_9,Estudante 9,Q12,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_9,Estudante 9,Q13,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_9,Estudante 9,Q14,Não respondeu.
ALUNO_8_9,Estudante 9,Q15,"Eu somei, mas o resultado deu 123."
ALUNO_8_9,Estudante 9,Q16,"Para saber quanto dinheiro Marta tem, somei o valor que ela já possuía com o que seu pai lhe deu: R$ 45,00+R$20,00=R$65,00. Marta tem R$ 65,00."
ALUNO_8_9,Estudante 9,Q17,"Para saber o total de livros infantis, somei os livros que a biblioteca já tinha com os que foram adquiridos: 320+85=405. A biblioteca possui 405 livros infantis agora."
ALUNO_8_9,Estudante 9,Q18,"Em um estacionamento, há 15 carros brancos, 10 carros pretos e 5 carros vermelhos. Quantos carros há no total?"
ALUNO_8_9,Estudante 9,Q19,Uma equipe de basquete marcou 28 pontos no primeiro quarto e 35 pontos no segundo quarto. Quantos pontos a equipe marcou juntos nesses dois quartos?
ALUNO_8_9,Estudante 9,Q20,"Em uma fazenda, há 120 galinhas e 85 patos. Quantas aves há ao todo na fazenda?"
ALUNO_8_10,Estudante 10,Q1,"Para saber o total, eu somei os livros dos dois dias: 273+319=592. A biblioteca recebeu um total de 592 livros."
ALUNO_8_10,Estudante 10,Q2,"Para encontrar o total arrecadado, somei as doações dos dois bairros: 875 kg+1.120 kg=1.995 kg. Foram arrecadados 1.995 kg de alimentos."
ALUNO_8_10,Estudante 10,Q3,"Para saber o total de pés de milho plantados, somei os pés de milho de cada safra: 5.300+6.150=11.450. Ele plantou 11.450 pés de milho no total nas duas safras."
ALUNO_8_10,Estudante 10,Q4,"Para calcular o total de filhotes nascidos, somei o número de filhotes de cada espécie: 43+15+28=86. Nasceram 86 filhotes no total no zoológico."
ALUNO_8_10,Estudante 10,Q5,"Para obter o número total de ingressos, somei os ingressos vendidos online e na bilheteria: 2.345+1.987=4.332. O número total de ingressos vendidos foi 4.332."
ALUNO_8_10,Estudante 10,Q6,"Eu somei, mas o resultado deu 123."
ALUNO_8_10,Estudante 10,Q7,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_10,Estudante 10,Q8,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_10,Estudante 10,Q9,"Para encontrar o total de celulares vendidos, somei as vendas de cada semana: 54+78+92=224. A loja vendeu 224 celulares no total nessas três semanas."
ALUNO_8_10,Estudante 10,Q10,"Para saber o total de crianças, somei o número de meninos e meninas: 15+13=28. Há 28 crianças ao todo nessa classe."
ALUNO_8_10,Estudante 10,Q11,"Eu somei, mas o resultado deu 123."
ALUNO_8_10,Estudante 10,Q12,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_10,Estudante 10,Q13,"Para saber o total de frutas, somei a quantidade de cada tipo de fruta: 7+5+3=15. Há 15 frutas no total na fruteira."
ALUNO_8_10,Estudante 10,Q14,"Para saber com quantos peixes Ana ficou, somei os peixes que ela já tinha com os que comprou: 18+7=25. Ana ficou com 25 peixes."
ALUNO_8_10,Estudante 10,Q15,Achei que era um problema de divisão.
ALUNO_8_10,Estudante 10,Q16,"Para saber quanto dinheiro Marta tem, somei o valor que ela já possuía com o que seu pai lhe deu: R$ 45,00+R$20,00=R$65,00. Marta tem R$ 65,00."
ALUNO_8_10,Estudante 10,Q17,Achei que era um problema de divisão.
ALUNO_8_10,Estudante 10,Q18,"Em um estacionamento, há 15 carros brancos, 10 carros pretos e 5 carros vermelhos. Quantos carros há no total?"
ALUNO_8_10,Estudante 10,Q19,Uma equipe de basquete marcou 28 pontos no primeiro quarto e 35 pontos no segundo quarto. Quantos pontos a equipe marcou juntos nesses dois quartos?
ALUNO_8_10,Estudante 10,Q20,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_11,Estudante 11,Q1,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_11,Estudante 11,Q2,"Para encontrar o total arrecadado, somei as doações dos dois bairros: 875 kg+1.120 kg=1.995 kg. Foram arrecadados 1.995 kg de alimentos."
ALUNO_8_11,Estudante 11,Q3,"Para saber o total de pés de milho plantados, somei os pés de milho de cada safra: 5.300+6.150=11.450. Ele plantou 11.450 pés de milho no total nas duas safras."
ALUNO_8_11,Estudante 11,Q4,"Para calcular o total de filhotes nascidos, somei o número de filhotes de cada espécie: 43+15+28=86. Nasceram 86 filhotes no total no zoológico."
ALUNO_8_11,Estudante 11,Q5,"Para obter o número total de ingressos, somei os ingressos vendidos online e na bilheteria: 2.345+1.987=4.332. O número total de ingressos vendidos foi 4.332."
ALUNO_8_11,Estudante 11,Q6,"Eu somei, mas o resultado deu 123."
ALUNO_8_11,Estudante 11,Q7,"Para calcular a produção total, somei as peças produzidas em janeiro e fevereiro: 15.670+18.905=34.575. A produção total da empresa nesses dois meses foi de 34.575 peças."
ALUNO_8_11,Estudante 11,Q8,"Para saber o total de material reciclável recolhido, somei as quantidades de cada material: 2.100 kg+1.550 kg+890 kg=4.540 kg. Foram recolhidos 4.540 kg de material reciclável no total."
ALUNO_8_11,Estudante 11,Q9,"Para encontrar o total de celulares vendidos, somei as vendas de cada semana: 54+78+92=224. A loja vendeu 224 celulares no total nessas três semanas."
ALUNO_8_11,Estudante 11,Q10,"Eu somei, mas o resultado deu 123."
ALUNO_8_11,Estudante 11,Q11,"Para calcular o total de alunos que estudam na escola, somei os alunos do turno matutino e vespertino: 1.407+1.825=3.232. Estudam 3.232 alunos nessa escola."
